term	estimate	std.error	statistic	p.value	conf.low	conf.high	variable	lvl	index	dataset	test_var	ref_level	outcome_subset
symtomduration_obstipasjon_catYes	-1.4729600657519386	1.6702013000362774	-0.8819057114372653	0.3780341556512996	-4.750356938601103	1.8044368070972259	symtomduration_obstipasjon_cat	Yes	invsimpson	mags	symtomduration_obstipasjon_cat	No	all
symtomduration_obstipasjon_catYes	-0.7583516520050169	6.1466585997316505	-0.12337624413337757	0.9018333081053573	-12.819795786190745	11.303092482180713	symtomduration_obstipasjon_cat	Yes	observed	mags	symtomduration_obstipasjon_cat	No	all
symtomduration_obstipasjon_catYes	-0.01789824674873884	0.04915279079347439	-0.3641349038336811	0.7158322279050815	-0.11434961631409792	0.07855312281662023	symtomduration_obstipasjon_cat	Yes	shannon	mags	symtomduration_obstipasjon_cat	No	all
symtomduration_obstipasjon_catYes	-1.426665284433283	1.5956007407770387	-0.8941242304378185	0.37146491073678656	-4.557675227980143	1.704344659113577	symtomduration_obstipasjon_cat	Yes	invsimpson	metaphlan	symtomduration_obstipasjon_cat	No	all
symtomduration_obstipasjon_catYes	2.0702415532025404	8.046350044251987	0.2572895215615736	0.7970068202174334	-13.718922586657975	17.859405693063056	symtomduration_obstipasjon_cat	Yes	observed	metaphlan	symtomduration_obstipasjon_cat	No	all
symtomduration_obstipasjon_catYes	-0.009930937119591685	0.049490063082240306	-0.2006652750288257	0.8410000447788322	-0.10704412819381684	0.08718225395463347	symtomduration_obstipasjon_cat	Yes	shannon	metaphlan	symtomduration_obstipasjon_cat	No	all
symtomduration_obstipasjon_catYes	16.486872360156283	29.481513553224886	0.5592274742065554	0.5762890846548002	-41.45413121148697	74.42787593179953	symtomduration_obstipasjon_cat	Yes	invsimpson	ko_hum	symtomduration_obstipasjon_cat	No	negative
symtomduration_obstipasjon_catYes	-1.3538899406188787	99.69156583888382	-0.013580787193241234	0.989170546558419	-197.28105500645836	194.57327512522062	symtomduration_obstipasjon_cat	Yes	observed	ko_hum	symtomduration_obstipasjon_cat	No	negative
symtomduration_obstipasjon_catYes	0.00815388888264944	0.03542780736112802	0.23015505305010836	0.8180775255621796	-0.06147356457698025	0.07778134234227913	symtomduration_obstipasjon_cat	Yes	shannon	ko_hum	symtomduration_obstipasjon_cat	No	negative
symtomduration_obstipasjon_catYes	0.4042078125052513	2.4629771154375026	0.16411350717460937	0.8697166383389442	-4.436363401208085	5.244779026218587	symtomduration_obstipasjon_cat	Yes	invsimpson	mags	symtomduration_obstipasjon_cat	No	negative
symtomduration_obstipasjon_catYes	-2.5118248543367154	9.344573974272267	-0.26880036064269375	0.7882084523857142	-20.877028290765043	15.853378582091612	symtomduration_obstipasjon_cat	Yes	observed	mags	symtomduration_obstipasjon_cat	No	negative
symtomduration_obstipasjon_catYes	0.017115507258411555	0.07582155655026677	0.22573405291494683	0.821512374711072	-0.13189913104892198	0.16613014556574507	symtomduration_obstipasjon_cat	Yes	shannon	mags	symtomduration_obstipasjon_cat	No	negative
symtomduration_obstipasjon_catYes	-0.006632159837069703	2.3473851344828867	-0.0028253394552277948	0.9977469800892622	-4.620026591420366	4.606762271746227	symtomduration_obstipasjon_cat	Yes	invsimpson	metaphlan	symtomduration_obstipasjon_cat	No	negative
symtomduration_obstipasjon_catYes	1.775706384925226	12.357491635523965	0.14369472683441836	0.885806876224797	-22.510884793570227	26.062297563420678	symtomduration_obstipasjon_cat	Yes	observed	metaphlan	symtomduration_obstipasjon_cat	No	negative
symtomduration_obstipasjon_catYes	0.021094506635565186	0.07669186761515161	0.2750553258321963	0.7834019693567267	-0.12963058308491895	0.17181959635604935	symtomduration_obstipasjon_cat	Yes	shannon	metaphlan	symtomduration_obstipasjon_cat	No	negative
symtomduration_obstipasjon_catYes	70.82403742601016	25.823663787277116	2.7426022120418083	0.006284735181271801	20.104196065534488	121.54387878648583	symtomduration_obstipasjon_cat	Yes	invsimpson	ko_hum	symtomduration_obstipasjon_cat	No	positive
symtomduration_obstipasjon_catYes	215.69108811531115	88.9946828312871	2.4236401687526716	0.015672279381160573	40.89806756210052	390.4841086685218	symtomduration_obstipasjon_cat	Yes	observed	ko_hum	symtomduration_obstipasjon_cat	No	positive
symtomduration_obstipasjon_catYes	0.10239056169238724	0.030611440416153716	3.3448462503043648	8.767284310654047e-4	0.04226712550948923	0.16251399787528525	symtomduration_obstipasjon_cat	Yes	shannon	ko_hum	symtomduration_obstipasjon_cat	No	positive
symtomduration_obstipasjon_catYes	-2.9401961728733697	2.3037618679173	-1.2762587200609556	0.2023775404845072	-7.464977684730213	1.5845853389834743	symtomduration_obstipasjon_cat	Yes	invsimpson	mags	symtomduration_obstipasjon_cat	No	positive
symtomduration_obstipasjon_catYes	1.0972038425963706	8.25409054612691	0.13292849605474882	0.8942962746504026	-15.114522213131588	17.30892989832433	symtomduration_obstipasjon_cat	Yes	observed	mags	symtomduration_obstipasjon_cat	No	positive
symtomduration_obstipasjon_catYes	-0.042870732978615704	0.06493043176010882	-0.6602563977551449	0.5093527889678287	-0.17039954629760126	0.08465808034036984	symtomduration_obstipasjon_cat	Yes	shannon	mags	symtomduration_obstipasjon_cat	No	positive
symtomduration_obstipasjon_catYes	-2.349143887371567	2.2042596396258913	-1.0657292113601762	0.28699180769013766	-6.678494678184075	1.9802069034409406	symtomduration_obstipasjon_cat	Yes	invsimpson	metaphlan	symtomduration_obstipasjon_cat	No	positive
symtomduration_obstipasjon_catYes	2.3241285147122026	10.69085564569582	0.2173940600954523	0.827978110344328	-18.67360855405298	23.321865583477386	symtomduration_obstipasjon_cat	Yes	observed	metaphlan	symtomduration_obstipasjon_cat	No	positive
symtomduration_obstipasjon_catYes	-0.028520157978539688	0.06506043108036297	-0.43836411018106297	0.6612864316513205	-0.15630430086480024	0.09926398490772087	symtomduration_obstipasjon_cat	Yes	shannon	metaphlan	symtomduration_obstipasjon_cat	No	positive
