primary_model	add_var	no_m	secondary_alg	predictor	sensitivities	specificities	thresholds	var_cat
rf_mphl	fit	FALSE	log_reg	primary_pred	1	0	NA	lower_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	1	0	NA	upper_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.9741379310344828	0.0111111111111111	NA	lower_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	1	0.0111111111111111	NA	upper_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.9568965517241379	0.0222222222222222	NA	lower_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	1	0.0222222222222222	NA	upper_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.9482758620689655	0.0333333333333333	NA	lower_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	1	0.0333333333333333	NA	upper_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.9224137931034483	0.0444444444444444	NA	lower_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	1	0.0444444444444444	NA	upper_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.896551724137931	0.0555555555555556	NA	lower_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	1	0.0555555555555556	NA	upper_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.8793103448275862	0.0666666666666667	NA	lower_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	1	0.0666666666666667	NA	upper_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.853448275862069	0.0777777777777778	NA	lower_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	1	0.0777777777777778	NA	upper_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.8362068965517241	0.0888888888888889	NA	lower_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	1	0.0888888888888889	NA	upper_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.8275862068965517	0.1	NA	lower_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.9913793103448276	0.1	NA	upper_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.8275862068965517	0.111111111111111	NA	lower_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.9913793103448276	0.111111111111111	NA	upper_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.8189655172413793	0.122222222222222	NA	lower_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.9827586206896551	0.122222222222222	NA	upper_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.8189655172413793	0.133333333333333	NA	lower_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.9741379310344828	0.133333333333333	NA	upper_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.8103448275862069	0.144444444444444	NA	lower_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.9741379310344828	0.144444444444444	NA	upper_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.8017241379310345	0.155555555555556	NA	lower_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.9568965517241379	0.155555555555556	NA	upper_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.8017241379310345	0.166666666666667	NA	lower_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.9482758620689655	0.166666666666667	NA	upper_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.7931034482758621	0.177777777777778	NA	lower_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.9396551724137931	0.177777777777778	NA	upper_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.7844827586206896	0.188888888888889	NA	lower_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.9312499999999997	0.188888888888889	NA	upper_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.7758620689655172	0.2	NA	lower_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.9310344827586207	0.2	NA	upper_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.7586206896551724	0.211111111111111	NA	lower_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.9310344827586207	0.211111111111111	NA	upper_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.7497844827586209	0.222222222222222	NA	lower_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.9224137931034483	0.222222222222222	NA	upper_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.7327586206896551	0.233333333333333	NA	lower_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.9224137931034483	0.233333333333333	NA	upper_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.7241379310344828	0.244444444444444	NA	lower_ci
rf_mphl	fit	FALSE	log_reg	primary_pred	0.9224137931034483	0.244444444444444	NA	upper_ci
